FID,OBJECTID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape__Length
2831,6375,Columbia Road,6230200,5,2,1,2010,BL,170.166773196086
2832,6376,Albany Street,5677500,5,2,0,2012,BL,160.574023146626
2833,6377,Albany Street,5678100,5,2,0,2012,BL,39.8604431946649
2834,6443,Washington Street,5716300,3,2,0,2016,SLM,365.580513786818
2835,6637,Whitfield Street,4854400,0,2,0,2018,TC,188.850860093882
2836,6668,Quincy Street,4703300,5,2,0,2019,SLM,64.7985961558075
2837,6767,Quincy Street,5835000,5,2,0,2019,SLM,50.7490782123231
2838,6816,Adams Street,5695700,5,2,0,2017,BL,33.540406383839
2839,6817,Adams Street,5868600,5,2,0,2017,BFBL,25.4139993151537
2840,6818,Dorchester Avenue,5198700,3,2,0,2010,SLM,63.8865862641636
2841,6819,Dorchester Avenue,4883000,3,2,0,2011,SLM,85.9642849324652
2842,6820,Ashmont Street,5574500,5,2,0,2013,SLM,27.0562278331183
2843,6821,Dorchester Avenue,5152500,3,2,0,2011,SLM,61.8593919437914
2844,6822,Geneva Avenue,5687200,5,2,0,2016,SLM,41.4818445608647
2845,6823,Dorchester Avenue,4785200,3,2,0,2011,SLM,171.316988825329
2846,6824,D Street,5591300,5,2,0,2013,BLSL,16.1583070294284
2847,6825,Dorchester Avenue,46178200,3,2,1,2011,BFBL,161.771743279012
2848,6826,Dorchester Avenue,4536500,3,2,1,2011,SLM,93.5911342299007
2849,6828,Mount Vernon Street,6305001,6,2,1,2013,BFBL,493.65709313747
2850,6829,Old Colony Avenue,5736900,3,3,1,2016,BFBL,226.007351258902
2851,6830,Columbia Road,5392500,5,2,1,2010,SLM,108.119403153924
2852,6831,Kneeland Street,5760500,3,2,0,2017,SBL,21.3139548200728
2853,6833,Winter Street,5419400,0,2,0,0,SRd,125.725795832082
2854,6834,Washington Street,5366401,0,2,0,0,SRd,170.336582620983
2855,6836,Warren Street,5779500,5,2,0,2012,BL,79.5802756317723
2856,6837,Warren Street,4423700,5,2,0,2012,BL,59.331341145293
2857,6838,Main Street,5521900,5,2,0,2011,BL,75.7364947835295
2858,6839,Oliver Street,5451500,0,2,0,2011,SLM,123.128062404795
2859,6840,Seaport Boulevard,45232300,3,2,0,2012,SLM,22.5892524234334
2860,6841,Saratoga Street,4392100,5,2,0,2012,BLSL,270.880168707738
2861,6842,Ashmont Street,5131300,5,2,0,2013,SLM,122.497380135994
2862,6843,Ashmont Street,5131400,5,2,0,2013,SLM,88.7783740103188
2863,6844,Adams Street,6252000,5,2,0,2013,SLM,98.3763508093191
2864,6845,Neponset Avenue,4795400,5,2,0,2012,BL,86.9283220454539
2865,6846,Dorchester Avenue,4746700,3,2,0,2011,SLM,45.2748847760575
2866,6847,Freeport Street,4755600,3,2,0,2013,BL,56.165188143679
2867,6848,Dorchester Avenue,4712700,3,2,0,2011,BL,144.64590138227
2868,6849,Dorchester Avenue,4697600,3,2,0,2011,BL,74.7272489082291
2869,6850,Dorchester Avenue,4678300,3,2,0,2011,BL,90.4883475655858
2870,6851,Dorchester Avenue,4685500,3,2,0,2011,BL,135.551466165984
2871,6852,Dorchester Avenue,4660000,3,2,0,2011,BL,115.963037927205
2872,6853,Dorchester Avenue,4633000,3,2,0,2011,BL,104.774440251338
2873,6854,Dorchester Avenue,5844800,3,2,0,2011,SLM,61.3330432697249
2874,6855,Surface Artery,5587500,3,2,0,2011,BL,154.418367893426
2875,6856,High Street,5349500,5,2,0,2011,BL,129.680192389912
2876,6857,High Street,5490800,3,2,0,2011,BL,57.3182677718732
2877,6858,Purchase Street,5651800,3,2,0,2011,SLM,57.1491741666261
2878,6859,Purchase Street,5482300,3,2,0,2011,BL,45.2279144358293
2879,6860,Franklin Street,5492200,5,2,0,2016,SRd,115.841603118489
2880,6861,Milk Street,5834200,5,2,0,2011,BL,52.170754763087
2881,6862,Broad Street,5279400,5,2,0,2013,SLM,48.9069325876313
2882,6863,Oliver Street,5391600,0,2,0,2011,BLSL,151.523558576548
2883,6864,Oliver Street,5391500,0,2,0,2011,BL,121.129459131074
2884,6865,Cross Street,45227300,3,2,0,2014,BL,86.4022254568692
2885,6866,North Washington Street,5793700,3,2,0,2019,BLSL,141.931139038649
2886,6867,Salem Street,5243300,0,2,0,2013,NW,15.254791853458
2887,6868,First Avenue,5996700,0,8,0,0,NW,34.3524006681544
2888,6869,Neponset Avenue,4848700,5,2,0,2012,BLSL,63.4205205727984
2889,6870,Freeport Street,5488704,3,2,0,2013,SLM,265.133302936558
2890,6872,Columbia Road,6298600,3,1,1,2016,BFBL,325.531347964256
2891,6876,Marginal Road,4510900,5,2,0,2019,BL,167.438683200156
2892,6898,Charles Street Circle,5873700,3,3,1,2018,SLM,84.009864853719
2893,7038,Marginal Road,4511500,5,2,0,2019,BL,155.473888588929
2894,7045,Harrison Avenue,5238000,5,2,0,2019,BL,91.7051584357977
2895,7047,Harrison Avenue,4509000,5,2,0,2019,BL,73.6901177176348
2896,7049,Harrison Avenue,4505500,5,2,0,2019,BL,83.3705840626217
2897,7103,Summer Street,5626701,3,2,1,2019,SBL,237.445848638245
2898,7104,Summer Street,45265500,3,2,1,2019,SBL,248.513586619212
2899,7203,Beach Street,5347200,0,2,0, ,SLM,51.159917541702
2900,7317,D Street,5473000,5,2,0,2013,BL,66.9434887277815
2901,7318,D Street,4568200,5,2,0,2013,BLSL,62.623641379702
2902,7319,D Street,4561800,5,2,0,2013,BLSL,60.6444017161541
2903,7320,Seaport Boulevard,6197700,3,2,0,2012,SLM,78.4335448081909
2904,7321,Broad Street,5487200,5,2,0,2013,SLM,44.1514292301531
2905,7322,Atlantic Avenue,5424100,3,2,0,2011,BL,114.703906329229
2906,7323,High Street,5624700,3,2,0,2011,BL,78.3359859142806
2907,7324,Commercial Street,5149700,5,2,0,2017,SBL,53.4939431159685
2908,7325,Neponset Avenue,5205700,5,2,0,2012,BLSL,108.96358742142
2909,7326,Drydock Avenue,5278600,0,2,0,2013,BL,288.380323760588
2910,7327,Northern Avenue,5198300,5,5,0,2017,SLM,149.818321019546
2911,7328,Marginal Street,4432700,0,2,0,2015,NW,234.507124415277
2912,7329,Maverick Street,4430000,5,2,0,2015,BL,86.0581474601608
2913,7330,Chelsea Street,5281800,5,2,0,2010,BL,42.4838462574214
2914,7331,Chelsea Street,5717600,5,2,0,2010,BL,51.3252889492072
2915,7332,Meridian Street,4416600,3,2,0,2013,BLSL,109.090617601767
2916,7335,Maverick Street,4433400,0,2,0,2015,BL,125.649188333773
2917,7336,Veterans Of Foreign Wars Parkway,5171000,2,3,1,2013,SLM,116.981003809992
2918,7337,Faneuil Street,4479000,6,2,0,2017,BL,115.648185183804
2919,7338,Bennington Street,4393300,5,2,0,2008,SLM,309.745334422663
2920,7339,Saratoga Street,5826300,5,2,1,2012,BL,155.573466855483
2921,7340,Veterans Of Foreign Wars Parkway,5017700,2,3,1,2013,BL,303.215460494709
2922,7341,Veterans Of Foreign Wars Parkway,6213600,2,3,1,2013,BL,144.665832528722
2923,7342,Veterans Of Foreign Wars Parkway,6288900,2,3,1,2013,SLM,108.582912695541
2924,7343,Veterans Of Foreign Wars Parkway,6238900,2,3,1,2013,BL,104.730420856411
2925,7344,Beacon Street,5357800,3,2,0,2009,BL,74.4850871585767
2926,7345,Faneuil Street,5454600,3,2,0,2017,SLM,57.4163914481968
2927,7346,Washington Street,5799300,3,2,0,2010,BL,132.813814772554
2928,7347,Faneuil Street,5363900,6,2,0,2017,BL,106.380757634383
2929,7348,Faneuil Street,4486700,6,2,0,2017,SLM,47.4236255684232
2930,7349,Veterans Of Foreign Wars Parkway,6212300,2,3,1,2013,SLM,179.36242996254
2931,7350,Faneuil Street,4464700,6,2,0,2017,SLM,219.468036035871
2932,7351,Market Street,4488700,5,2,0,2013,BL,149.70964775365
2933,7429,University Of Massachusetts Access Road,5438801,0,B,0,2019,BL,182.437986325171
2934,7453,Mount Vernon Street,4676100,6,2,0,2019,SBL,78.8718026073353
2935,7454, ,6066300,0, ,0,2019,SBL,121.730466321224
2936,7502,Central Square,5858800,0,2,0,2017,SLM,31.2313529592321
2937,7818,Beacon Street,5248700,3,2,0,2009,BL,620.563745028237
2938,7819,Commonwealth Avenue,6227000,3,2,1,2013,BL,347.741358108464
2939,7820,Lake Street,5786200,6,2,0,2011,BL,23.5012795579716
2940,7823,Harvard Avenue,5576000,3,2,0,2010,BL,18.4445669648585
2941,7824,Harvard Avenue,5262800,3,2,0,2010,BL,193.056516042038
2942,7826,Franklin Street,5279600,0,2,0,2010,NW,64.8942432125329
2943,7827,Veterans Of Foreign Wars Parkway,6218700,2,3,1,2013,BL,628.823526059311
2944,7828,Chestnut Hill Avenue,4551100,5,2,0,2013,SLM,94.3395525430729
2945,7829,Chestnut Hill Avenue,5846000,5,2,0,2013,BL,57.6135598487815
2946,7830,Commonwealth Avenue Frontage Road Eb,5108200,0,2,1,2013,NW,76.8546131771517
2947,7831,Commonwealth Avenue Frontage Road Eb,5108500,0,2,1,2013,NW,124.333329166412
2948,7832,Commonwealth Avenue Frontage Road Eb,5108700,0,2,1,2013,NW,406.037352369809
2949,7833,Chestnut Hill Avenue,5656500,5,2,0,2013,BLSL,144.67992707499
